TRAD_COMM,sec,crp,agr,tot,lsp,Note
grain,CGR,CRP,AGR,TOT,,
milk,DRY,LSP,AGR,TOT,LSP,
frs,FOR,,,TOT,,
fish,FSH,,,TOT,,
pigpoul,NRM,LSP,AGR,TOT,LSP,"Mapped to NRM, where is OAP"
oils,OSD,CRP,AGR,TOT,,
crops,PFB,CRP,AGR,TOT,,
oagr,OCR,CRP,,TOT,,Mapped to OCR
pdr,RIC,CRP,AGR,TOT,,
cattle,RUM,LSP,AGR,TOT,LSP,Also includes WOL
sug,SGC,CRP,AGR,TOT,,
hort,VFN,CRP,AGR,TOT,,
wht,WHT,CRP,AGR,TOT,,
biod,,,,TOT,,
biog,,,,TOT,,
c_oil,,,,TOT,,
chem,,,,TOT,,
cmt,,,,TOT,,
coa,,,,TOT,,
cvol,,,,TOT,,
dairy,,,,TOT,,
ddgs,,,,TOT,,
ely,,,,TOT,,
feed,,,,TOT,,
gas,,,,TOT,,
ofd,,,,TOT,,
pcr,RIC,CRP,AGR,TOT,,
oilcake,,,,TOT,,
omt,,,,TOT,,
othind,,,,TOT,,
petro,,,,TOT,,
ser,,,,TOT,,
sugar,,,,TOT,,
vol,,,,TOT,,
fert,,,,TOT,,
gas_dist,,,,TOT,,
res,,,,TOT,,
r_v_f,,,,TOT,,
r_frs,,,,TOT,,
r_ocr,,,,TOT,,
r_osd,,,,TOT,,
r_gro,,,,TOT,,
r_wht,,,,TOT,,
r_pdr,,,,TOT,,
plan,ECP,CRP,AGR,TOT,,
pel,,,,TOT,,
ftfuel,,,,TOT,,
eth,,,,TOT,,
bioe,,,,TOT,,
ely_w,,,,TOT,,
ely_h,,,,TOT,,
ely_n,,,,TOT,,
ely_g,,,,TOT,,
ely_c,,,,TOT,,
f_chem,,,,TOT,,
lsug,,,,TOT,,
pla,,,,TOT,,
pe,,,,TOT,,
